Name,Address,ZIP Code,Latitude,Longitude,Rating,User Ratings Total,Price Level,Types
Byblos - Mediterranean Lebanese Restaurant & Hookah Lounge/catering,"1406 N Main St, Fort Worth, TX 76164, United States",76164,32.7784339,-97.34682620000001,4.2,811,2,"bar, restaurant, food, point_of_interest, establishment"
CAVA,"5917 Convair Dr Suite 309, Fort Worth, TX 76109, United States",76109,32.6993795,-97.4127685,4.4,657,1,"restaurant, food, point_of_interest, establishment"
Gyro & Kabob Grill,"7660 McCart Ave, Fort Worth, TX 76133, United States",76133,32.6316862,-97.3703827,4.3,822,1,"restaurant, food, point_of_interest, establishment"
Aladdin Mediterranean CafÃ©,"9500 Ray White Rd #163, Fort Worth, TX 76244, United States",76244,32.9120676,-97.2716131,4.7,711,2,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Istanbul Grill,"401 Throckmorton St, Fort Worth, TX 76102, United States",76102,32.754294,-97.33296209999999,4.7,1520,2,"restaurant, food, point_of_interest, establishment"
Chadra Mezza & Grill,"1701 Galveston Ave, Fort Worth, TX 76104, United States",76104,32.7257566,-97.32694459999999,4.5,558,2,"restaurant, food, point_of_interest, establishment"
Saffron Sky Mediterranean Bakery Cafe,"449 N Beach St, Fort Worth, TX 76111, United States",76111,32.7699887,-97.28763409999999,4.4,222,1,"restaurant, food, point_of_interest, establishment"
Dimassi's Mediterranean Buffet,"6357 Camp Bowie Blvd, Fort Worth, TX 76116, United States",76116,32.7259791,-97.4211515,4.3,853,2,"restaurant, food, point_of_interest, establishment"
CAVA,"2736 W 7th St, Fort Worth, TX 76107, United States",76107,32.7513251,-97.356348,4.5,451,1,"restaurant, food, point_of_interest, establishment"
CAVA,"3330 Tracewood Way Suite 100, Fort Worth, TX 76177, United States",76177,32.915288,-97.3095704,4.6,174,1,"restaurant, food, point_of_interest, establishment"
Luna Grill Alliance,"8825 Tehama Ridge Pkwy Suite 321, Fort Worth, TX 76177, United States",76177,32.9000228,-97.32274269999999,4.2,859,2,"restaurant, food, point_of_interest, establishment"
Moeâ€™s Gyro (Gyros and Wings),"6600 North Fwy #108, Fort Worth, TX 76137, United States",76137,32.8613433,-97.3131408,4.6,231,1,"restaurant, food, point_of_interest, establishment"
Luna Grill Clearfork,"5239 Marathon Ave, Fort Worth, TX 76109, United States",76109,32.7089025,-97.4000379,4.5,311,2,"restaurant, food, point_of_interest, establishment"
Greek House Restaurant,"2426 Forest Park Blvd, Fort Worth, TX 76110, United States",76110,32.7161687,-97.3525813,4.5,263,1,"restaurant, food, point_of_interest, establishment"
Greek Cafe,"3529 Heritage Trace Pkwy, Fort Worth, TX 76244, United States",76244,32.9145,-97.30526669999999,4.7,535,1,"restaurant, food, point_of_interest, establishment"
STOP-N-GO GYROS,"3056 S University Dr, Fort Worth, TX 76109, United States",76109,32.7066739,-97.3607145,4.6,176,1,"restaurant, food, point_of_interest, establishment"
King Tut,"1512 W Magnolia Ave, Fort Worth, TX 76104, United States",76104,32.730853,-97.342712,4.6,614,2,"restaurant, food, point_of_interest, establishment"
Galilee Falafel & Shawarma,"6116 Lake Worth Blvd suite 400, Lake Worth, TX 76135, United States",76135,32.8075752,-97.4154891,4.9,558,N/A,"restaurant, food, point_of_interest, establishment"
Nish! Mediterranean Grill,"4913 Ohio Garden Rd, River Oaks, TX 76114, United States",76114,32.7768164,-97.3944906,4.8,1128,2,"restaurant, cafe, food, point_of_interest, establishment"
Hala Cafe,"605 N Main St, Euless, TX 76039, United States",76039,32.8446033,-97.08291469999999,4.4,877,2,"meal_takeaway, restaurant, food, point_of_interest, establishment"
"The Great Greek Mediterranean Grill - Forth Worth, TX","3004 Cullen St, Fort Worth, TX 76107, United States",76107,32.762295,-97.360309,0.0,0,N/A,"restaurant, point_of_interest, food, establishment"
Cairo Mex food,"4307 Camp Bowie Blvd, Fort Worth, TX 76107, United States",76107,32.7420452,-97.3830211,4.7,53,1,"restaurant, point_of_interest, food, establishment"
Jazz Cafe,"2504 Montgomery St, Fort Worth, TX 76107, United States",76107,32.7349056,-97.37008709999999,4.4,87,N/A,"cafe, restaurant, point_of_interest, food, establishment"
STOP-N-GO GYROS,"6401 N Beach St, Fort Worth, TX 76137, United States",76137,32.8594279,-97.29055699999999,4.4,376,1,"restaurant, point_of_interest, food, establishment"
M&K Mediterranean Market,"5250 N Tarrant Pkwy #122, Fort Worth, TX 76137, United States",76137,32.8939492,-97.2708497,4.4,167,N/A,"grocery_or_supermarket, store, restaurant, point_of_interest, food, establishment"
Stop-N-Go Gyros,"5142 Rufe Snow Dr #101, North Richland Hills, TX 76180, United States",76180,32.8420386,-97.2382615,4.6,783,1,"restaurant, point_of_interest, food, establishment"
Pak-A-Pocket,"5512 Bellaire Dr S # D, Fort Worth, TX 76109, United States",76109,32.69487610000001,-97.41279999999999,4.8,209,1,"restaurant, point_of_interest, food, establishment"
Olives Mediterranean Grill,"1714 W Randol Mill Rd, Arlington, TX 76012, United States",76012,32.7499936,-97.135193,4.6,527,2,"restaurant, point_of_interest, food, establishment"
CafÃ© Medi,"129 Olive St, Keller, TX 76248, United States",76248,32.9308187,-97.25285989999999,4.6,641,2,"restaurant, point_of_interest, food, establishment"
Watani Grill,"4333 Wichita St, Fort Worth, TX 76119, United States",76119,32.7004829,-97.2798463,5.0,14,N/A,"restaurant, point_of_interest, food, establishment"
Fattoush Restaurant,"2304 W Park Row Dr Suite 25, Pantego, TX 76013, United States",76013,32.7202613,-97.14606409999999,4.7,1086,1,"restaurant, point_of_interest, food, establishment"
Olive Garden Italian Restaurant,"4700 SW Loop 820, Fort Worth, TX 76109, United States",76109,32.682952,-97.39582000000001,4.2,2296,2,"meal_takeaway, bar, restaurant, point_of_interest, food, establishment"
Moeâ€™s Gyro (Gyros and Wings),"819 W Pipeline Rd, Hurst, TX 76053, United States",76053,32.8226564,-97.188013,4.6,711,1,"restaurant, point_of_interest, food, establishment"
Olive Garden Italian Restaurant,"Center, 925 Alta Mere Dr, Fort Worth, TX 76116, United States",76116,32.746776,-97.43647299999999,4.3,3137,2,"meal_takeaway, bar, restaurant, point_of_interest, food, establishment"
Abu Omar Halal,"2300 W Division St #100, Arlington, TX 76012, United States",76012,32.7354226,-97.1457395,4.2,658,1,"restaurant, point_of_interest, food, establishment"
Aladdin Cafe,"10138 N Crowley Rd, Crowley, TX 76036, United States",76036,32.6070741,-97.3519476,4.8,1298,1,"restaurant, point_of_interest, food, establishment"
Narah Cafe,"2896 W Pioneer Pkwy, Arlington, TX 76013, United States",76013,32.7095859,-97.1549447,3.7,705,2,"restaurant, point_of_interest, food, establishment"
Olive Garden Italian Restaurant,"9333 Rain Lily Trail, Fort Worth, TX 76177, United States",76177,32.90816,-97.31609999999999,4.2,2726,2,"meal_takeaway, bar, restaurant, point_of_interest, food, establishment"
Beirut grill Arlington,"2410 W Abram St Suite 126, Arlington, TX 76013, United States",76013,32.7314162,-97.148134,4.8,410,N/A,"restaurant, point_of_interest, food, establishment"
Terra Mediterranean,"2973 Crockett St, Fort Worth, TX 76107, United States",76107,32.74996,-97.359854,4.6,1080,2,"bar, restaurant, point_of_interest, food, establishment"
